phi,B,L,N_q,s_q,i_q,d_q,N_gamma,s_gamma,i_gamma,d_gamma,q_bL_net_capacity,q_bL_net_demand,FS
30.0,1.511453974998182,3.022907949996364,18.40112221870868,1.15,1,1.1604330115708184,15.06981389575955,1.15,1,1.1604330115708184,867.1844609451539,346.8737843780613,2.5
31.0,1.4220168566734481,2.8440337133468963,20.63079315994264,1.1562017548727213,1,1.1740128192663395,17.6930557951277,1.1562017548727213,1,1.1740128192663395,987.8710916770416,395.1484366708172,2.5
32.0,1.3358533938042156,2.6717067876084313,23.17677620701264,1.1627294151649932,1,1.189067667836472,20.786381663871275,1.1627294151649932,1,1.189067667836472,1127.806888063971,451.1227552255881,2.5
33.0,1.252857121393418,2.505714242786836,26.092012099198985,1.1696059998320234,1,1.2058079246561713,24.442414778735444,1.1696059998320234,1,1.2058079246561713,1290.8041546697868,516.3216618679149,2.5
34.0,1.1729276823051125,2.345855364610225,29.43979236964349,1.1768566018727054,1,1.2244824716141316,28.774323255832186,1.1768566018727054,1,1.2244824716141316,1481.6015345753688,592.6406138301475,2.5
35.0,1.0959710507404907,2.1919421014809815,33.29609149141175,1.1845086166071332,1,1.2453874101822817,33.92095007549546,1.1845086166071332,1,1.2453874101822817,1706.1341624396562,682.4536649758624,2.5
36.0,1.0218997158870053,2.0437994317740107,37.75249717188572,1.192591999815959,1,1.2688771378434387,40.053378308657585,1.192591999815959,1,1.2688771378434387,1971.8967472453226,788.7586988981282,2.5
37.0,0.95063285389891,1.90126570779782,42.91991165458433,1.2011395602908075,1,1.2953785554587225,47.383378810895024,1.2011395602908075,1,1.2953785554587225,2288.4367180492504,915.3746872196984,2.5
38.0,0.8820965136471784,1.764193027294357,48.93325270205936,1.210187292139741,1,1.3254094459961927,56.17434205174989,1.210187292139741,1,1.3254094459961927,2668.0315869313936,1067.2126347725568,2.5
39.0,0.8162238401231198,1.6324476802462395,55.95745874448361,1.2197747531438798,1,1.3596024637409148,66.75550889438422,1.2197747531438798,1,1.3596024637409148,3126.6305590948746,1250.6522236379515,2.5
40.0,0.7529553587206442,1.5059107174412885,64.19520638896576,1.2299454966056695,1,1.3987367450063233,79.54061155972988,1.2299454966056695,1,1.3987367450063233,3685.180331916717,1474.0721327666847,2.5
41.0,0.6922393435062278,1.3844786870124557,73.89689142651562,1.240747565509548,1,1.443779980500836,95.05245141764912,1.240747565509548,1,1.443779980500836,4371.517536855777,1748.6070147423084,2.5
42.0,0.6340322924857449,1.2680645849714898,85.3736230346376,1.252234059486503,1,1.4959450048100824,113.95552711867363,1.252234059486503,1,1.4959450048100824,5223.10978521845,2089.243914087379,2.5
43.0,0.5782995319333898,1.1565990638667796,99.01425896458065,1.2644637871039077,1,1.5567667598426524,137.0996627116125,1.2644637871039077,1,1.5567667598426524,6291.088403391858,2516.4353613567487,2.5
44.0,0.525015968623365,1.05003193724673,115.30790233772963,1.2775020184778687,1,1.628208189705427,165.5787872389332,1.2775020184778687,1,1.628208189705427,7646.281582183971,3058.512632873588,2.5
45.0,0.47416700091703307,0.9483340018340661,134.87384062630497,1.2914213562373096,1,1.7128077198087701,200.81076093945742,1.2914213562373096,1,1.7128077198087701,9388.402997531646,3755.361199012654,2.5
